id,description
1,アルコールは揮発性があるのでお酒を飲むとカロリーも揮発して0kcalになります。
2,ウーロン茶を一緒に飲むと0kcalです。
3,おいしいものを食べると幸せホルモンが出るので0kcalです。
4,オリーブオイルは痩せている速水もこみちさんが使っているので0kcalです。
5,お米は白いので0kcalです。
6,カステラはギュッとすれば0kcalになります。潰したときに空気中にふわっと飛んでいくので副流カロリーに注意が必要です。
7,カツカレーはとんかつのカロリーとカレーのカロリーが喧嘩するので0kcalです。喧嘩両成敗。
8,カップ焼きそばは乾燥しているのでカロリーは宿りません。0kcalです。
9,カップ焼きそばは持ち上げると軽いです。あんなに軽いのにカロリーがある訳がないので0kcalです。
10,からあげクンはネーミングが可愛いので0kcalです。
11,ガリガリ君は食べると痩せることからガリガリ君と呼ばれるそうです。
12,カロリーが真ん中に集まってく習性があるので穴が空いている食べ物は0kcalです。
13,カロリーは熱に弱く，110℃に耐えられないので，揚げ物は全て0kcalです。
14,キャベツ太郎はキャベツなので0kcalです。
15,このアプリを使ってくれたので0kcalです。
16,じゃがいもは野菜です。パン粉に包んで油で揚げる事で、若干あるカロリーが油に逃げるので0kcalです。
17,チャーハンは何度もフライパンの上で熱によって痛めつけられカロリーが全て消えるので0kcalです。
18,ナポリタンはトマトでコーティングされているので0kcalです。
19,ピザはトマトのリコピンとカロリーが戦ってリコピンが勝つので0kcalです。
20,プチシュークリームなどの小さい食べ物は小さいので0kcalです。1個目が0kcalなので何個食べても0kcalです。
21,フライドポテトは細いので0kcalです。
22,麻婆豆腐は辛い豆腐なので0kcalでダイエット食品です。
23,一日の食品廃棄物は約350万kg。少しでも多く食べて地球に貢献したので実質0kcalです。
24,駅弁は新幹線に乗って食べると0kcalです。時速200kmではカロリーが追いつけません。
25,王将3色アイスのように味が3つあったら2で割れないので0kcalです。
26,屋台の焼きそばは透明な容器に入っているので0kcalです。
27,何を食べようが地球上の総カロリーから見れば、総量は変わらないどころか幾分かは熱として宇宙に放出されるので，むしろダイエットです。
28,歌舞伎揚げなど昔からあるものは0kalです。ロングセラーはカロリーが風化します。
29,柿の種は辛いので自然とカロリーを消費するので0kcalです。
30,丸くて穴が空いている食べものはゼロを表しているので0kcalです。
31,牛は0kcalの草を食べて育つので牛肉は0kcalです。
32,社会人は毎日働いて偉いので何を食べても0kcalです。
33,焼き鳥は塩ではカロリーがありますが，タレにはありません。タレにくぐらせることでカロリーが洗い流されて0kcalです。
34,職人が握った寿司はカロリーが潰れて職人の手に吸収されるため0kcalです。※寿司ロボットはカロリーが残る可能性があるので注意が必要です。
35,食べ物がラップに包まれていると0kcalです。
36,食べ物を食べる時の咀嚼はエネルギーを使うので、どれだけ食べても実質0kcalです。
37,寝ている間に食べたら意識がないので0kcalです。
38,寝るとカロリーを消費するのでどれだけ食べても0kcalです。
39,神社のお祭りの時の食事は神様が大目に見てくれるので0kcalです。
40,人間と同様にカロリーにも基礎代謝があるので0kcalです。
41,世界の人口は約80億人で，取得したカロリーを80億で割るとほぼ0kcalです。よかったですね！
42,体重が重い方が消費カロリーが多いらしいです。
43,糖分はすぐエネルギーに変わるので0kcalです。
44,熱いお風呂に入ると汗をかくので0kcalです。
45,年またぎに食べると前の年にカロリーが置いていかれるので0kcalです。
46,白い器と白いスプーンで食べると0kcalです。
47,白がベースの食べ物はカロリーも白紙に戻るので0kcalです。
48,冷たくすることによってカロリーは全部飛ぶので，冷たいものは基本的に0kcalです。
49,甘いものとしょっぱいものを交互に食べると中和されて0kcalになります。
